Player,Pos_x,Age_x,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff
Chris Paul,PG,33,HOU,58,1857,19.7,0.56,0.493,0.282,2.1,13.9,7.9,39.3,3.0,0.8,15.8,22.5,4.4,2.2,6.6,0.172,2.7,1.1,3.9,2.8,2019,Regular Season,32.01724137931034,11,397,17.6,0.557,0.426,0.304,4.1,15.4,9.9,25.1,3.0,1.6,18.1,22.7,0.5,0.6,1.1,0.132,0.7,1.7,2.5,0.4,Playoffs,36.09090909090909,-2.099999999999998,-2.4,-0.0399999999999999,0.0399999999999999
Chris Paul,PG,34,OKC,70,2208,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,2020,Regular Season,31.542857142857144,7,261,19.3,0.604,0.384,0.232,1.2,18.9,10.4,26.1,2.0,1.4,15.7,24.2,0.4,0.4,0.8,0.141,1.9,2.2,4.1,0.4,Playoffs,37.285714285714285,-2.3999999999999986,-3.1,-0.052,0.052
Chris Paul,PG,35,PHO,70,2199,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,2021,Regular Season,31.414285714285715,20,683,20.7,0.584,0.217,0.217,1.6,9.4,5.7,39.5,1.7,0.4,11.6,24.8,1.7,0.9,2.5,0.178,4.3,0.7,5.0,1.2,Playoffs,34.15,-0.6999999999999993,-2.4000000000000004,-0.023,0.023
Chris Paul,PG,36,PHO,65,2139,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,2022,Regular Season,32.90769230769231,13,448,22.8,0.666,0.316,0.239,1.9,12.1,7.2,36.4,2.2,0.4,15.3,20.8,1.6,0.2,1.8,0.196,3.7,1.2,4.9,0.8,Playoffs,34.46153846153846,2.0,-3.2,-0.0139999999999999,0.0139999999999999
Chris Paul,PG,37,PHO,59,1889,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,2023,Regular Season,32.016949152542374,7,250,14.7,0.469,0.308,0.044,2.4,13.7,8.2,27.9,2.4,1.7,7.0,17.5,0.2,0.1,0.3,0.064,0.2,0.7,0.8,0.2,Playoffs,35.714285714285715,-3.0,-2.3,-0.092,0.092
Clint Capela,C,24,HOU,67,2249,23.8,0.658,0.0,0.357,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,0.23,3.3,-0.3,3.0,2.8,2019,Regular Season,33.56716417910448,11,331,15.7,0.549,0.0,0.427,14.4,23.8,19.2,7.7,0.4,3.4,14.1,15.0,0.5,0.4,0.9,0.129,0.3,-1.0,-0.6,0.1,Playoffs,30.09090909090909,-8.100000000000001,-2.7,-0.101,0.101
Clint Capela,C,26,ATL,63,1898,24.3,0.601,0.0,0.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,4.9,3.3,8.2,0.207,2.7,0.0,2.7,2.2,2021,Regular Season,30.126984126984127,18,569,15.8,0.591,0.0,0.287,11.8,26.6,19.3,4.5,1.0,2.9,10.5,13.3,0.8,1.0,1.7,0.147,0.8,0.5,1.3,0.5,Playoffs,31.61111111111111,-8.5,-1.7000000000000002,-0.06,0.06
D'Angelo Russell,PG,25,MIN,65,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,2.9,1.5,4.4,0.101,2.2,-1.5,0.8,1.4,2022,Regular Season,31.953846153846158,6,196,8.5,0.455,0.431,0.222,0.0,8.1,4.3,32.2,2.1,0.0,17.7,21.0,-0.2,0.1,-0.1,-0.022,-1.8,-1.1,-2.9,0.0,Playoffs,32.666666666666664,-7.800000000000001,-1.4,-0.123,0.123
Damian Lillard,PG,28,POR,80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7.0,30.6,1.5,1.0,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6.0,2019,Regular Season,35.475,16,650,20.6,0.566,0.479,0.345,1.3,11.1,6.2,28.0,2.1,0.6,13.6,29.4,1.2,0.4,1.6,0.119,4.9,-0.2,4.6,1.1,Playoffs,40.625,-3.099999999999998,-4.9,-0.086,0.086
Damian Lillard,PG,29,POR,66,2474,26.9,0.627,0.5,0.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,2020,Regular Season,37.48484848484848,4,143,18.7,0.618,0.516,0.516,0.7,9.6,5.2,19.8,0.7,0.6,15.1,27.0,0.3,0.0,0.3,0.102,5.9,-1.5,4.5,0.2,Playoffs,35.75,-8.2,-5.7,-0.123,0.123
